Link_Produk,Harga,Nama_Produk,Lokasi_Produk,tipe_mobil,Platform,Tahun,Kilometer Mobil,Jenis_Mobil
https://www.olx.co.id/item/porsche-718-boxster-s-mt-20232021-iid-929607076,2450000000.0,Porsche 718,Kebayoran Lama,manual,olx,2023,5000.0,Porsche
https://www.olx.co.id/item/avanza-s-mt-2007-iid-929600416,88000000.0,Toyota Avanza,Pasar Minggu,manual,olx,2007,150000.0,Toyota
https://www.olx.co.id/item/mitsubishi-colt-diesel-fe-71-110ps-4r-box-alumunium-2019-terawat-iid-929600136,241900000.0,Mitsubishi Colt,Pesanggrahan,manual,olx,2019,70000.0,Mitsubishi
https://www.olx.co.id/item/km-rendah-daihatsu-ayla-10-m-sporty-bensin-mt-2016-putih-0nh-iid-929082153,85000000.0,Daihatsu Ayla,Tambun Selatan,manual,olx,2016,10000.0,Daihatsu
https://www.olx.co.id/item/pajak-panjang-daihatsu-xenia-15-r-deluxe-bensin-mt-2021-hitam-srz-iid-929082362,182000000.0,Daihatsu Xenia,Tambun Selatan,manual,olx,2021,40000.0,Daihatsu
https://www.olx.co.id/item/pajak-panjang-toyota-kijang-innova-20-g-bensin-mt-2015-putih-fvh-iid-929106995,147000000.0,Toyota Kijang Innova,Sawah Besar,manual,olx,2015,65000.0,Toyota
https://www.olx.co.id/item/dp-rendah-daihatsu-terios-15-adventure-r-bensin-mt-2017-sza-iid-929106925,132000000.0,Daihatsu Terios,Pondok Melati,manual,olx,2017,100000.0,Daihatsu
https://www.olx.co.id/item/pajak-panjang-daihatsu-ayla-12-r-bensin-mt-2019-orange-2jb-iid-929107589,111000000.0,Daihatsu Ayla,Pondok Melati,manual,olx,2019,70000.0,Daihatsu
https://www.olx.co.id/item/jimny-1982-4x4-full-speck-iid-927297190,58000000.0,Suzuki Jimny,Cilandak,manual,olx,1986,185000.0,Suzuki
https://www.olx.co.id/item/kia-travello-diesel-2017-full-original-seperti-baru-gressss-istimewa-iid-929396795,128000000.0,Kia Travello,Cilandak,manual,olx,2017,70000.0,KIA
https://www.olx.co.id/item/mobil-baru-promo-akhir-tahun-xenia-dp-10-jt-iid-929328556,225000000.0,Daihatsu Xenia,Cilandak,manual,olx,2024,5000.0,Daihatsu
https://www.olx.co.id/item/dp-hanya-5-jt-saja-toyota-camry-hybrid-tahun-2021-iid-929325221,450000000.0,Toyota Camry,Kebayoran Baru,manual,olx,2021,70000.0,Toyota
https://www.olx.co.id/item/mitsubishi-colt-diesel-fe-71-110ps-4r-box-alumunium-2019-terawat-iid-929600057,241900000.0,Mitsubishi Colt FE,Pesanggrahan,manual,olx,2019,70000.0,Mitsubishi
https://www.olx.co.id/item/mitsubishi-colt-diesel-fe-71-110ps-4r-box-alumunium-2019-terawat-iid-929599960,241900000.0,Mitsubishi FE 71,Pesanggrahan,manual,olx,2019,70000.0,Mitsubishi
https://www.olx.co.id/item/mercedes-benz-unimog-l1300-tahun-1995-iid-928876444,795000000.0,Mercedes-Benz Lain-lain,Cilandak,manual,olx,1995,65000.0,Mercedes-Benz
https://www.olx.co.id/item/mitsubishi-triton-gls-2019-silver-on-black-4x4-manual-iid-929599309,250000000.0,Mitsubishi Triton,Kebayoran Baru,manual,olx,2019,80000.0,Mitsubishi
https://www.olx.co.id/item/suzuki-carry-futura-pick-up-2018-iid-929599306,87500000.0,Suzuki Carry,Pasar Minggu,manual,olx,2018,45000.0,Suzuki
