Link_Produk,Harga,tahun_KM_Mobil,Nama_Produk,Lokasi_Produk,jenis_mobil,Platform
https://www.olx.co.id/item/suzuki-sj410-katana-iid-929538415,135000000,1995 - 80.000-85.000 km,Suzuki Katana,Pesanggrahan,manual,olx
https://www.olx.co.id/item/daihatsu-terios-15-tx-silver-mt-2013-iid-929210747,117000000,2013 - 195.000-200.000 km,Daihatsu Terios,Pasar Minggu,manual,olx
https://www.olx.co.id/item/vip-dealer-toyota-avanza-veloz-manual-2018-fulloriginal-iid-920706287,135000000,2018 - 55.000-60.000 km,Toyota Avanza,Cilandak,manual,olx
https://www.olx.co.id/item/suzuki-katana-gx-2001-antik-istimewa-tdp-10-jt-iid-928978062,65000000,2001 - 35.000-40.000 km,Suzuki Katana,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/daihatsu-xenia-2013-bensin-iid-929630159,112000000,2013 - 100.000-105.000 km,Daihatsu Xenia,Cilandak,manual,olx
https://www.olx.co.id/item/rush-trd-mt-14-dp-10-iid-928514148,135000000,2014 - 150.000-155.000 km,Toyota Rush,Pasar Minggu,manual,olx
https://www.olx.co.id/item/innova-reborn-diesel-iid-928530607,326500000,2020 - 55.000-60.000 km,Toyota Kijang Innova,Cilandak,manual,olx
https://www.olx.co.id/item/toyota-corona-1989-bensin-iid-929625186,19500000,1989 - >300.000 km,Toyota Corona,Pesanggrahan,manual,olx
https://www.olx.co.id/item/starlet-kotak-xl-10-ep70-tahun-1986-edisi-lisse-langka-siap-jalan-iid-922184497,34000000,1986 - 255.000-260.000 km,Toyota Starlet,Pesanggrahan,manual,olx
https://www.olx.co.id/item/2022-suzuki-jimny-4x4-3-doors-ivory-two-tone-mt-iid-928370843,470000000,2022 - 15.000-20.000 km,Suzuki Jimny,Pesanggrahan,manual,olx
https://www.olx.co.id/item/toyota-hiace-commuter-iid-929622986,360000000,2012 - 100.000-105.000 km,Toyota Hiace,Pasar Minggu,manual,olx
https://www.olx.co.id/item/limited-edition-license-no-70-collector-item-iid-929622739,110000000,2003 - >300.000 km,Nissan Terrano,Cilandak,manual,olx
