Link_produk,Kilometer,Lokasi_mobil,tahun_jenis_mobil,Harga_mobil,Merek_mobil,Rating,jenis_mobil,platform
https://www.mobil123.com/dijual/mercedes-benz-cla45-amg-s-4matic-plus-dki-jakarta-fatmawati/15834861,5 - 10K KM,DKI Jakarta,2022 Mercedes-Benz CLA45 AMG 2.0 S 4MATiC+ Wagon - S 4MATi...,1450000000.0,Mercedes-Benz,5.0,automatic,mobil123.com
https://www.mobil123.com/dijual/toyota-land-cruiser-gr-s-70th-anniversary-dki-jakarta-cipete/15564203,15 - 20K KM,DKI Jakarta,2023 Toyota Land Cruiser 3.3 GR-S 70th Anniversary SUV,2375000000.0,Toyota Land Cruiser,4.8,automatic,mobil123.com
https://www.mobil123.com/dijual/bmw-x5-xdrive40i-xline-dki-jakarta-fatmawati/15801642,50 - 55K KM,DKI Jakarta,2020 BMW X5 3.0 xDrive40i xLine SUV,950000000.0,BMW X5,4.5,automatic,mobil123.com
https://www.mobil123.com/dijual/jaguar-f-pace-r-sport-dki-jakarta-cipete/15254217,20 - 25K KM,DKI Jakarta,2017 Jaguar F-Pace 3.0 R-Sport SUV,799000000.0,Jaguar F-Pace,5.0,automatic,mobil123.com
https://www.mobil123.com/dijual/toyota-kijang-innova-g-banten-gading-serpong/16024042,110000 KM,Banten,"2014 Toyota Kijang Innova 2.5 G MPV - ( TDP 40jt ) 2,5 AT ...",225000000.0,Toyota Kijang Innova,5.0,automatic,mobil123.com
https://www.mobil123.com/dijual/toyota-raize-gr-sport-dki-jakarta-cilincing/16024028,15 - 20K KM,DKI Jakarta,2022 Toyota Raize 1.0 GR Sport Wagon - Non TSS Like New Lo...,208000000.0,Toyota Raize,4.7,automatic,mobil123.com
https://www.mobil123.com/dijual/suzuki-grand-vitara-gx-mhev-banten-gading-serpong/16024032,10000 KM,Banten,"2023 Suzuki Grand Vitara 1.5 GX MHEV SUV - ( TDP 90jt ) 1,...",315000000.0,Suzuki Grand Vitara,4.6,automatic,mobil123.com
https://www.mobil123.com/dijual/honda-cr-v-prestige-vtec-jawa-barat-bandung/15391959,38000 KM,Jawa Barat,"2021 Honda CR-V 1.5 Prestige VTEC SUV - 1,5 Sensing unit l...",492000000.0,Honda CR-V,4.7,automatic,mobil123.com
https://www.mobil123.com/dijual/honda-civic-es-jawa-barat-bkr-ramdhan/15968539,85 - 90K KM,Jawa Barat,"2016 Honda Civic 1.5 ES Sedan - unit langka, mulus siap pa...",303000000.0,Honda Civic,4.6,automatic,mobil123.com
https://www.mobil123.com/dijual/honda-brio-satya-e-jawa-barat-bandung/15825618,55 - 60K KM,Jawa Barat,2018 Honda Brio 1.2 Satya E Hatchback - pemakaian 2019,140000000.0,Honda Brio,4.6,automatic,mobil123.com
